upp,year,month,date,homicideintentional,bodyinjurydeathfollowed,robberydeathfollowed,deathofmilitarypolice,deathofcivilpolice,totalrobbery,totaltheft
DoUppSantaMarta,2007,1,1,0,0,0,0,0,0,1
DoUppSantaMarta,2007,2,2,0,0,0,0,0,3,2
DoUppSantaMarta,2007,3,3,0,0,0,0,0,2,3
DoUppSantaMarta,2007,4,4,0,0,0,0,0,1,2
DoUppSantaMarta,2007,5,5,0,0,0,0,0,0,0
DoUppSantaMarta,2007,6,6,0,0,0,0,0,1,0
DoUppSantaMarta,2007,7,7,0,0,0,0,0,1,3
DoUppSantaMarta,2007,8,8,0,0,0,0,0,1,0
DoUppSantaMarta,2007,9,9,0,0,0,0,0,1,2
DoUppSantaMarta,2007,10,10,0,0,0,0,0,1,1
DoUppSantaMarta,2007,11,11,0,0,0,0,0,0,3
DoUppSantaMarta,2007,12,12,2,0,0,0,0,1,2
DoUppSantaMarta,2008,1,13,0,0,0,0,0,2,5
DoUppSantaMarta,2008,2,14,0,0,0,0,0,2,4
DoUppSantaMarta,2008,3,15,0,0,0,0,0,0,3
DoUppSantaMarta,2008,4,16,0,0,0,0,0,1,1
DoUppSantaMarta,2008,5,17,0,0,0,0,0,0,3
DoUppSantaMarta,2008,6,18,0,0,0,0,0,1,2
DoUppSantaMarta,2008,7,19,0,0,0,0,0,2,2
DoUppSantaMarta,2008,8,20,0,0,0,0,0,0,1
DoUppSantaMarta,2008,9,21,0,0,0,0,0,0,3
DoUppSantaMarta,2008,10,22,0,0,0,0,0,1,4
DoUppSantaMarta,2008,11,23,0,0,0,0,0,2,4
DoUppSantaMarta,2008,12,24,0,0,0,0,0,0,3
DoUppSantaMarta,2009,1,25,0,0,0,0,0,1,5
DoUppSantaMarta,2009,2,26,0,0,0,0,0,2,4
DoUppSantaMarta,2009,3,27,0,0,0,0,0,0,4
DoUppSantaMarta,2009,4,28,0,0,0,0,0,0,4
DoUppSantaMarta,2009,5,29,0,0,0,0,0,1,3
DoUppSantaMarta,2009,6,30,0,0,0,0,0,1,1
DoUppSantaMarta,2009,7,31,0,0,0,0,0,1,2
DoUppSantaMarta,2009,8,32,0,0,0,0,0,0,4
DoUppSantaMarta,2009,9,33,0,0,0,0,0,0,2
DoUppSantaMarta,2009,10,34,0,0,0,0,0,0,2
DoUppSantaMarta,2009,11,35,0,0,0,0,0,0,7
DoUppSantaMarta,2009,12,36,0,0,0,0,0,0,1
