UPP,City,date_Bope,date_upp,Gang
DoUppSantaMarta,Rio de Janeiro,19/11/08,19/12/08,CV
DoUppBatan,Rio de Janeiro,12/07/08,18/02/09,MILITIA
DoUppCdd,Rio de Janeiro,11/11/08,16/02/09,CV
DoUppChapeuMangueiraEBabilonia,Rio de Janeiro,11/05/09,10/06/09,contested
DoUppPavaoPavaozinho,Rio de Janeiro,30/11/09,23/12/09,CV
DoUppTabajaras,Rio de Janeiro,26/12/09,14/01/10,CV
DoUppProvidencia,Rio de Janeiro,22/03/10,26/04/10,CV
DoUppBorel,Rio de Janeiro,28/04/10,07/06/10,contested
DoUppAndarai,Rio de Janeiro,11/06/10,28/07/10,CV
DoUppFormiga,Rio de Janeiro,28/04/10,01/07/10,CV
DoUppSalgueiro,Rio de Janeiro,30/07/10,17/09/10,CV
DoUppTurano,Rio de Janeiro,10/08/10,30/10/10,CV
DoUppMacacos,Rio de Janeiro,14/10/10,30/11/10,ADA
DoUppSaoJoaoQuietoMatriz,Rio de Janeiro,06/01/11,31/01/11,CV
DoUppCoroaFalletFogueteiro,Rio de Janeiro,06/01/11,25/02/11,contested
DoUppEscondidinhoEPrazeres,Rio de Janeiro,06/01/11,25/02/11,CV
DoUppMangueira,Rio de Janeiro,19/06/11,03/11/11,CV
DoUppSaoCarlos,Rio de Janeiro,06/01/11,17/05/11,ADA
DoUppVidigal,Rio de Janeiro,13/12/11,18/01/12,ADA
DoUppFazendinha,Rio de Janeiro,28/11/10,18/04/12,CV HQ
DoUppNovaBrasilia,Rio de Janeiro,28/11/10,18/04/12,CV HQ
DoUppAdeusBaiana,Rio de Janeiro,28/11/10,11/05/12,CV HQ
DoUppAlemao,Rio de Janeiro,28/11/10,30/05/12,CV HQ
DoUppChatuba,Rio de Janeiro,27/06/12,27/06/12,CV HQ
DoUppFeSereno,Rio de Janeiro,27/06/12,27/06/12,CV HQ
DoUppParqueProletario,Rio de Janeiro,28/11/10,28/08/12,CV HQ
DoUppVilaCruzeiro,Rio de Janeiro,28/11/10,28/08/12,CV HQ
DoUppRocinha,Rio de Janeiro,13/12/11,20/09/12,ADA
DoUppJacarezinho,Rio de Janeiro,14/10/12,16/01/13,CV
DoUppManguinhos,Rio de Janeiro,14/10/12,16/01/13,CV
DoUppAraraMandela,Rio de Janeiro,13/10/12,06/09/13,CV
DoUppBarreiraVascoTuiuti,Rio de Janeiro,03/03/13,12/04/13,CV
DoUppCaju,Rio de Janeiro,03/03/13,12/04/13,ADA
DoUppCerroCora,Rio de Janeiro,29/04/13,03/06/13,CV
DoUppCamaristaMeier,Rio de Janeiro,06/10/13,02/12/13,CV
DoUppLins,Rio de Janeiro,06/10/13,02/12/13,CV
DoUppVilaKennedy,Rio de Janeiro,13/03/14,23/05/14,CV
